context,question,answers/0,answers/1,answers/2,answers/3,label,id_string,random
"Professor Hartley's new book on moral philosophy contains numerous passages that can be found verbatim in an earlier published work by Hartley's colleague, Professor Lawrence. Therefore, in view of the fact that these passages were unattributed in Hartley's book, Hartley has been dishonest in not acknowledging the intellectual debt owed to Lawrence.",Which one of the following is an assumption on which the argument is based?,Hartley considered the passages in question to be the best possible expressions of the ideas they contain.,Hartley could not have written the new book without the passages in question.,A book on moral philosophy should contain only material representing the author's own convictions.,Lawrence did not get the ideas in the passages in question or did not get their formulations originally from Hartley.,3,val_499,0.394807396
"Oil analysts predict that if the price of oil falls by half, the consumer's purchase price for gasoline made from this oil will also fall by half.","Which one of the following, if true, would cast the most serious doubt on the prediction made by the oil analysts?",Studies in several countries show that the amount of gasoline purchased by consumers initially rises after the price of gasoline has fallen.,There are many different gasoline companies that compete with each other to provide the most attractive price to consumers.,Gasoline manufacturers will not expand their profit margins.,"Refining costs, distribution costs, and taxes, none of which varies significantly with oil prices, constitute a large portion of the price of gasoline.",3,val_291,0.62443601
"Because visual inspection cannot reliably distinguish certain skin discolorations from skin cancers, dermatologists at clinics have needed to perform tests of skin tissue taken from patients. At Westville Hospital, dermatological diagnostic costs were reduced by the purchase of a new imaging machine that diagnoses skin cancer in such cases as reliably as the tissue tests do. Consequently, even though the machine is expensive, a dermatological clinic in Westville is considering buying one to reduce diagnostic costs.",Which of the following would it be most useful for the clinic to establish in order to make its decision?,Whether the visits of patients who require diagnosis of skin discolorations tend to be shorter in duration at the clinic than at the hospital.,Whether the machine at the clinic would get significantly less heavy use than the machine at the hospital does.,Whether the principles on which the machine operates have been known to science for a long time.,"Whether in certain cases of skin discoloration, visual inspection is sufficient to make a diagnosis of skin cancer.",1,val_58,0.749400781
"Currently, no satellite orbiting Earth is at significant risk of colliding with other satellites or satellite fragments, but the risk of such a collision is likely to increase dramatically in the future. After all, once such a collision occurs, it will probably produce thousands of satellite fragments, each large enough to shatter other satellites. The resulting collisions will produce many more fragments, and so on, causing the space around Earth to become quite heavily cluttered with dangerous debris.",Which one of the following most accurately describes the role played in the argument by the claim that the risk of a satellite orbiting Earth colliding with other satellites or satellite fragments is likely to increase dramatically in the future?,It is a claim that serves as the argument's conclusion.,It is a claim that provides nonessential background information for the argument's conclusion.,It is an unsupported claim that is used to provide support for the argument's conclusion.,"It is a claim for which the argument provides some support, and which in turn is used to support the argument's conclusion.",0,val_389,0.018993661
"Some years ago, an editorial defended United States government restrictions on academic freedom, arguing that scientists who receive public funding cannot rightly ""detach themselves from the government's policies on national security. ""Yet the same editorial criticized the Soviet government for not allowing scientists to ""detach themselves from politics. "" If there is a significant difference between the principles involved in each case, the editorial should have explained what that difference is.",The author of the passage criticizes the editorial by:,Disputing certain factual claims made in the editorial.,Drawing a conclusion from the editorial different from the conclusion drawn by the writer of the editorial.,Pointing out an apparent inconsistency in the editorial.,Refuting an assumption on which the argument of the editorial appears to have been based.,2,val_489,0.077319825
"Environment minister: Because of our concern about global warming, this country has committed itself to reducing its emissions of carbon dioxide substantially over the next ten years. Since trees absorb carbon dioxide, planting large numbers of trees will help us fulfill our commitment.","Which one of the following, if true, would most weaken the environment minister's argument?","When ground is disturbed in the course of planting trees, more carbon dioxide is released into the atmosphere by rotting organic matter in the soil than the new trees will absorb in ten years.",Owners of large tracts of private land are usually unwilling to plant trees unless they are given a financial incentive for doing so.,Many climate researchers believe that global warming is such an urgent problem that carbon dioxide emissions should be substantially reduced in less than ten years.,"Gases other than carbon dioxide contribute to global warming, and trees do not absorb any of these other gases.",0,val_354,0.529044296
"Some advertisers offer certain consumers home computers free of charge. Advertisements play continuously on the computers' screens whenever they are in use. As consumers use the computers to browse the Internet, information about their browsing patterns is sent to the advertisers, enabling them to transmit to each consumer advertising that accurately reflects his or her individual interests. The advertisers can afford to offer the computers for free because of the increased sales that result from this precise targeting of individual consumers.",Which one of the following is most strongly supported by the information above?,At least some consumers who use a computer offered free of charge by advertisers for browsing the Internet spend more money on purchases from those advertisers than they would if they did not use such a computer to browse the Internet.,The advertisers would not be able to offer the computers absolutely free of charge if advertisements that accurately reflected the interests of the computers' users did not play continuously across the computers' screens whenever they were in use.,No advertisers could offer promotions that give away computers free of charge if consumers never used those computers to browse the Internet.,"There are at least some consumers who browse the Internet using computers offered free of charge by the advertisers and who, if they did not use those computers to browse the Internet, would spend little if any money on purchases from those advertisers.",0,val_135,0.429858238
"Professor Beckstein: American Sign Language is the native language of many North Americans. Therefore, it is not a foreign language, and for that reason alone, no student should be permitted to satisfy the university's foreign language requirement by learning it. Professor Sedley: According to your argument, students should not be allowed to satisfy the university's foreign language requirement by learning French or Spanish either, since they too are the native languages of many North Americans. Yet many students currently satisfy the requirement by studying French or Spanish, and it would be ridiculous to begin prohibiting them from doing so.",Their statements commit Professors Beckstein and Sedley to disagreeing about which one of the following?,Whether the fact that a language is the native language of many North Americans justifies prohibiting its use to fulfill the university's foreign language requirement.,Whether any other universities in North America permit their students to fulfill a foreign language requirement by learning American Sign Language.,Whether American Sign Language is the native language of a significant number of North Americans.,Whether any North American whose native language is not English should be allowed to fulfill the university's foreign language requirement by studying his or her own native language.,0,val_186,0.39110487
"Radial keratotomy (RK), a surgery that is designed to reshape the cornea so that light focuses correctly on the retina, is supposed to make eyeglasses or contact lenses that correct for nearsightedness unnecessary. Yet a study of patients who have undergone RK shows that some of them still need to wear glasses or contact lenses.","Each of the following, if true, would help to resolve the apparent discrepancy in the information above EXCEPT:","The more severe a patient's nearsightedness, the less effective the corneal reshaping of RK will be in correcting the problem.","RK patients who originally suffered from only mild nearsightedness may, if the cornea does not heal evenly, develop an astigmatism that requires corrective lenses.","As the eye heals from an operation to correct nearsightedness, it may in fact overcorrect, causing the person to be farsighted.",Those who choose to undergo RK tend to be as nearsighted before this operation as those who choose not to undergo RK.,3,val_150,0.78738321
"A university psychology department received a large donation from a textbook company after agreeing to use one of the company's books for a large introductory course. The department chair admitted that the department would not have received the donation if it used another company's textbook, but insisted that the book was chosen solely for academic reasons. As proof, she noted that the department's textbook committee had given that textbook its highest rating.","Which one of the following, if true, most weakens the case for the department chair's position?",The textbook company does not routinely make donations to academic departments that use its books.,The members of the textbook committee were favorably influenced toward the textbook by the prospect of their department receiving a large donation.,"In the previous year, a different textbook from the same company was used in the introductory course.",The department has a long-standing policy of using only textbooks that receive the committee's highest rating.,1,val_190,0.362037032
"Further evidence of a connection between brain physiology and psychological states has recently been uncovered in the form of a correlation between electroencephalograph patterns and characteristic moods. A study showed that participants who suffered form clinical depression exhibited less left frontal lobe activity than right, while, conversely, characteristically good-natured participants exhibited greater left lobe activity. Thus one's general disposition is a result of the activity of one's frontal lobe.","Each of the following, if true, weakens the argument EXCEPT:",Social interaction of the kind not engaged in by most clinically depressed people is known to stimulate left lobe activity.,"Excessive sleep, a typical consequence of clinical depression, is known to suppress left lobe activity.",Many drugs prescribed to combat clinical depression act by causing increased left lobe activity.,Frontal lobe activity is not subject to variation the way general disposition is.,2,val_142,0.810365119
"Consumer advocate: The toy-labeling law should require manufacturers to provide explicit safety labels on toys to indicate what hazards the toys pose. The only labels currently required by law are labels indicating the age range for which a toy is intended. For instance, a ""three and up"" label is required on toys that pose a choking hazard for children under three years of age. Although the current toy-labeling law has indeed reduced the incidence of injuries to children from toys, parents could prevent such injuries almost entirely if toy labels provided explicit safety information.","Which one of the following, if true, most strengthens the consumer advocate's argument?",Many parents do not pay attention to manufacturers labels when they select toys for their children.,Most parents believe that the current labels are recommendations regarding level of cognitive skill.,The majority of children injured by toys are under three years of age.,Choking is the most serious hazard presented to children by toys.,1,val_336,0.50717482
"Investment banker: Democracies require free-market capitalist economies, because a more controlled economy is incompatible with complete democracy. But history shows that repressive measures against certain capitalistic developments are required during the transition from a totalitarian regime to a democracy. Thus, people who bemoan the seemingly anticapitalistic measures certain governments are currently taking are being hasty.",Which one of the following is an assumption required by the investment banker's argument?,A free-market economy is incompatible with a nondemocratic regime.,No current government has reached as complete a state of democracy as it is possible for a government to reach.,The nations whose anticapitalistic measures the people in question bemoan had totalitarian regimes in the recent past.,"The more democratic a country is, the less regulated its economy must be.",2,val_211,0.116231773
"One way to compare chess-playing programs is to compare how they perform with fixed time limits per move. Given any two computers with which a chess-playing program is compatible, and given fixed time limits per move, such a program will have a better chance of winning on the faster computer. This is simply because the program will be able to examine more possible moves in the time allotted per move.",Which one of the following is most strongly supported by the information above?,"If a chess-playing program is run on two different computers and is allotted more time to examine possible moves when running on the slow computer than when running on the fast computer, it will have an equal chance of winning on either computer.",How fast a given computer is has no effect on which chess-playing computer programs can run on that computer.,"In general, the more moves a given chess-playing program is able to examine under given time constraints per move, the better the chances that program will win.","If one chess-playing program can examine more possible moves than a different chess-playing program run on the same computer under the same time constraints per move, the former program will have a better chance of winning than the latter.",2,val_312,0.360930629
"Physician: In comparing our country with two other countries of roughly the same population size, I found that even though we face the same dietary, bacterial, and stress-related causes of ulcers as they do, prescriptions for ulcer medicines in all socioeconomic strata are much rarer here than in those two countries. It's clear that we suffer significantly fewer ulcers, per capita, than they do.","Which one of the following, if true, most strengthens the physician's argument?",The two countries that were compared with the physician's country had approximately the same ulcer rates as each other.,The physician's country has a much better system for reporting the number of prescriptions of a given type that are obtained each year than is present in either of the other two countries.,A person in the physician's country who is suffering from ulcers is just as likely to obtain a prescription for the ailment as is a person suffering from ulcers in one of the other two countries.,Several other countries not covered in the physician's comparisons have more prescriptions for ulcer medication than does the physician's country.,2,val_322,0.249753974
"Essayist: Only happiness is intrinsically valuable; other things are valuable only insofar as they contribute to happiness. Some philosophers argue that the fact that we do not approve of a bad person's being happy shows that we value happiness only when it is deserved. This supposedly shows that we find something besides happiness to be intrinsically valuable. But the happiness people deserve is determined by the amount of happiness they bring to others. Therefore, __.",Which one of the following most logically completes the final sentence of the essayist's argument?,The judgment that a person deserves to be happy is itself to be understood in terms of happiness.,People do not actually value happiness as much as they think they do.,The notion that people can be deserving of happiness is ultimately incoherent.,The only way to be assured of happiness is to bring happiness to those who have done something to deserve it.,0,val_202,0.389024005
"A study of young children's ability to learn foreign languages found that those with parents who read them more than one book per week in their native language were 75% more proficient in the foreign languages that they learned than children whose parents read them one book per week or less. A secondary finding of the study was that children's ability to remember new vocabulary in a second language drops off sharply after the age of 6, when it becomes 75% more difficult to retain new words learned in the second language.","Assuming the statements above are true, which of the following can be inferred from them?",The ease of learning a second language depends almost exclusively on environmental factors.,Students whose parents enter them in early education and who read to them frequently are more likely to have extra income and more free time.,Students who begin studying a language later in life would have had an easier time learning some aspects of that language if they had begun studying it as a young child.,Proficient speakers of a second language are likely to have begun learning it before the age of 6.,2,val_75,0.16860323
"Mayor of Smalltown: Instituting high taxes on sodas, which are currently untaxed in Smalltown, has been shown in the past year to encourage people to reduce their intake of soda and live healthier lifestyles. Because the effects of such taxes on local businesses have not yet been determined, though, I believe we should wait before implementing such a tax. Activist: Your position is inconsistent with previous actions you have taken. You have implemented many laws that have decreased local businesses' revenues in order to help consumers, so concern for local businesses cannot be the true reason you refuse to pass this law now.",The activist's argument is flawed because it fails to consider that:,The effects of taxes on local businesses may not be immediately apparent in all cases.,The health effects of some types of sodas may be different than the health effects of others.,"It is possible to weigh known drawbacks against known benefits, but not possible to weigh unknown drawbacks in the same way.",Soda consumption has been strongly linked to rates of obesity and shorter lifespans.,2,val_306,0.320672136
"Selena: Asteroid impact on the Earth caused the extinction of the dinosaurs by raising vast clouds of dust, thus blocking the Sun's rays and cooling the planet beyond the capacity of the dinosaurs, or perhaps the vegetation that supported them, to adapt. A worldwide dust layer provides evidence of asteroid impact at approximately the correct time, and a huge crater exists on the edge of the Yucatan peninsula in Mexico. Trent: That asteroid crater is not large enough for the requisite amount of dust to have been produced. Besides, the extinction of dinosaur species took many years, not just one or two. So the extinctions must have been due not to asteroid impact on the Earth but to some other kind of cause.",Trent's argument assumes that:,Dinosaurs in the neighborhood of an asteroid impact but not within the zone of direct impact would have survived such an impact.,Dust from the impact of an asteroid on the Earth would not have had any cooling effect on the climate.,No more than one large asteroid struck the Earth during the period when the dinosaurs were becoming extinct.,Any collision of an asteroid with the Earth would have occurred on a land area rather than an ocean.,2,val_4,0.851641815
"A certain cultivated herb is one of a group of closely related plants that thrive in soil with high concentrations of metals that are toxic to most other plants. Agronomists studying the herb have discovered that it produces large amounts of histidine, an amino acid that, in test-tube solutions, renders these metals chemically inert. Possibly, therefore, the herb's high histidine production is what allows it to grow in metal-rich soils, a hypothesis that would gain support if __.",Which of the following most logically completes the argument?,The concentration of histidine in the growing herb declines as the plant approaches maturity.,"Cultivation of the herb in soil with high concentrations of the metals will, over an extended period, make the soil suitable for plants to which the metals are toxic.","Histidine is found in all parts of the plant-roots, stem, leaves, and flowers.",Others of the closely related group of plants are also found to produce histidine in large quantities.,3,val_155,0.452905284
