context,question,answers/0,answers/1,answers/2,answers/3,label,id_string
"Zoologist: It is true that over the past 15 years, there has been a fourfold increase in government funding to preserve endangered species, while the number of endangered species needing such preservation has increased by only 70% (there were, however, a large number of endangered species to begin with 15 years ago). Taking into account inflation, the amount of funding is at least double what it was 15 years ago. Nevertheless, the current amount of funding from the government for species preservation is inadequate and must be enhanced.","Which one of the following, if true, most helps to reconcile the zoologist's conclusion with the above evidence?",The two government agencies responsible for species preservation are typically under budget and are known for an utter lack of cooperation.,"Unlike today, funding for the preservation of species was essentially nonexistent 15 years ago.","Over the past 15 years, the salaries of conservationists employed by the government to work on species preservation solutions have increased at a rate twice that of inflation.","Within the past 15 years, there have been breakthroughs in species demography that allow scientists to identify those species most in need of protection far before they face any real risk of extinction.",1,val_29
"A large survey of scientists found that almost all accept Wang' s Law, and almost all know the results of the Brown-Eisler Experiment. But those results together with Wang' s Law contradict the Minsk Hypothesis. Ttherefore, most of the scientists surveyed reject the Minsk Hypothesis.",The argument requires assuming which one of the following?,Wang's Law has in fact been shown to be true.,The scientists surveyed are generally aware that the results of the Brown-Eisler Experiment together with Wang's Law contradict the Minsk Hypothesis.,The sample is large enough to be representative of scientists in the field.,Almost all of the scientists surveyed are familiar with the way in which the results of the Brown-Eisler Experiment were obtained.,1,val_82
"Some years ago, an editorial defended United States government restrictions on academic freedom, arguing that scientists who receive public funding cannot rightly ""detach themselves from the government' s policies on national security. ""Yet the same editorial criticized the Soviet government for not allowing scientists to ""detach themselves from politics. "" If there is a significant difference between the principles involved in each case, the editorial should have explained what that difference is.",The author of the passage criticizes the editorial by,disputing certain factual claims made in the editorial,drawing a conclusion from the editorial different from the conclusion drawn by the writer of the editorial,pointing out an apparent inconsistency in the editorial,refuting an assumption on which the argument of the editorial appears to have been based,2,val_489
"Radial keratotomy (RK), a surgery that is designed to reshape the cornea so that light focuses correctly on the retina, is supposed to make eyeglasses or contact lenses that correct for nearsightedness unnecessary. Yet a study of patients who have undergone RK shows that some of them still need to wear glasses or contact lenses.","Each of the following, if true, would help to resolve the apparent discrepancy in the information above EXCEPT:","The more severe a patient's nearsightedness, the less effective the corneal reshaping of RK will be in correcting the problem.","RK patients who originally suffered from only mild nearsightedness may, if the cornea does not heal evenly, develop an astigmatism that requires corrective lenses.","As the eye heals from an operation to correct nearsightedness, it may in fact overcorrect, causing the person to be farsighted.",Those who choose to undergo RK tend to be as nearsighted before this operation as those who choose not to undergo RK.,3,val_150
"Selena: Asteroid impact on the Earth caused the extinction of the dinosaurs by raising vast clouds of dust, thus blocking the Sun' s rays and cooling the planet beyond the capacity of the dinosaurs, or perhaps the vegetation that supported them, to adapt. A worldwide dust layer provides evidence of asteroid impact at approximately the correct time, and a huge crater exists on the edge of the Yucatan peninsula in Mexico. Trent: That asteroid crater is not large enough for the requisite amount of dust to have been produced. Besides, the extinction of dinosaur species took many years, not just one or two. So the extinctions must have been due not to asteroid impact on the Earth but to some other kind of cause.",Trent's argument assumes that,dinosaurs in the neighborhood of an asteroid impact but not within the zone of direct impact would have survived such an impact,dust from the impact of an asteroid on the Earth would not have had any cooling effect on the climate,no more than one large asteroid struck the Earth during the period when the dinosaurs were becoming extinct,any collision of an asteroid with the Earth would have occurred on a land area rather than an ocean,2,val_4
"Because visual inspection cannot reliably distinguish certain skin discolorations from skin cancers, dermatologists at clinics have needed to perform tests of skin tissue taken from patients. At Westville Hospital, dermatological diagnostic costs were reduced by the purchase of a new imaging machine that diagnoses skin cancer in such cases as reliably as the tissue tests do. Consequently, even though the machine is expensive, a dermatological clinic in Westville is considering buying one to reduce diagnostic costs.",Which of the following would it be most useful for the clinic to establish in order to make its decision?,Whether the visits of patients who require diagnosis of skin discolorations tend to be shorter in duration at the clinic than at the hospital,Whether the machine at the clinic would get significantly less heavy use than the machine at the hospital does,Whether the principles on which the machine operates have been known to science for a long time,"Whether in certain cases of skin discoloration, visual inspection is sufficient to make a diagnosis of skin cancer",1,val_58
"Physiologist: The likelihood of developing osteoporosis is greatly increased by a deficiency of calcium in the diet. Dairy products usually contain more calcium per serving than do fruits and vegetables. Yet in countries where dairy products are rare, and fruits and vegetables are the main source of calcium, the incidence of osteoporosis is much lower than in countries where people consume a great deal of calcium from dairy products.","Which one of the following, if true, would most help to resolve the apparent discrepancy described by the physiologist?",A healthy human body eventually loses the excess calcium that it takes in.,There are more people who have a calcium deficiency than there are who have developed osteoporosis.,The fats in dairy products tend to inhibit the body's calcium absorption.,Many people who eat large quantities of fruits and vegetables also consume dairy products.,2,val_493
"Music historian: Some critics lament the fact that impoverished postwar recording studios forced early bebop musicians to record extremely short solos, thus leaving a misleading record of their music. But these musicians' beautifully concise playing makes the recordings superb artistic works instead of mere representations of their live solos. Furthermore, the conciseness characteristic of early bebop musicians' recordings fostered a compactness in their subsequent live playing, which the playing of the next generation lacks.","The music historian's statements, if true, most strongly support which one of the following?",The difficult postwar recording conditions had some beneficial consequences for bebop.,Musicians will not record extremely short solos unless difficult recording conditions force them to do so.,Short bebop recordings are always superior to longer ones.,Representations of live solos generally are not valuable artistic works.,0,val_285
"Oil analysts predict that if the price of oil falls by half, the consumer' s purchase price for gasoline made from this oil will also fall by half.","Which one of the following, if true, would cast the most serious doubt on the prediction made by the oil analysts?",Studies in several countries show that the amount of gasoline purchased by consumers initially rises after the price of gasoline has fallen.,There are many different gasoline companies that compete with each other to provide the most attractive price to consumers.,Gasoline manufacturers will not expand their profit margins.,"Refining costs, distribution costs, and taxes, none of which varies significantly with oil prices, constitute a large portion of the price of gasoline.",3,val_291
"Professor Hartley' s new book on moral philosophy contains numerous passages that can be found verbatim in an earlier published work by Hartley' s colleague, Professor Lawrence. Ttherefore, in view of the fact that these passages were unattributed in Hartley' s book, Hartley has been dishonest in not acknowledging the intellectual debt owed to Lawrence.",Which one of the following is an assumption on which the argument is based?,Hartley considered the passages in question to be the best possible expressions of the ideas they contain.,Hartley could not have written the new book without the passages in question.,A book on moral philosophy should contain only material representing the author's own convictions.,Lawrence did not get the ideas in the passages in question or did not get their formulations originally from Hartley.,3,val_499
"Currently, no satellite orbiting Earth is at significant risk of colliding with other satellites or satellite fragments, but the risk of such a collision is likely to increase dramatically in the future. After all, once such a collision occurs, it will probably produce thousands of satellite fragments, each large enough to shatter other satellites. The resulting collisions will produce many more fragments, and so on, causing the space around Earth to become quite heavily cluttered with dangerous debris.",Which one of the following most accurately describes the role played in the argument by the claim that the risk of a satellite orbiting Earth colliding with other satellites or satellite fragments is likely to increase dramatically in the future?,It is a claim that serves as the argument's conclusion.,It is a claim that provides nonessential background information for the argument's conclusion.,It is an unsupported claim that is used to provide support for the argument's conclusion.,"It is a claim for which the argument provides some support, and which in turn is used to support the argument's conclusion.",0,val_389
"Heavy rains during Centralia' s corn planting season prevented some farmers there from planting corn. It is now the planting season for soybeans, another of Centralia' s principal crops, and those fields originally intended for corn are dry enough for planting. Nonetheless, even though soybean prices are unusually high at present, the farmers will leave most of these fields empty rather than plant them with soybeans, since__.",Which of the following most logically completes the passage below?,some Centralian farmers anticipate serious financial losses due to the extremely wet spring planting season,the extensive rains have led to an increase in the price of corn,chemicals that were used to prepare the fields for corn planting would stunt the growth of soybeans,many Centralian farmers grow both corn and soybeans,2,val_243
"Physician: In comparing our country with two other countries of roughly the same population size, I found that even though we face the same dietary, bacterial, and stress-related causes of ulcers as they do, prescriptions for ulcer medicines in all socioeconomic strata are much rarer here than in those two countries. It' s clear that we suffer significantly fewer ulcers, per capita, than they do.","Which one of the following, if true, most strengthens the physician's argument?",The two countries that were compared with the physician's country had approximately the same ulcer rates as each other.,The physician's country has a much better system for reporting the number of prescriptions of a given type that are obtained each year than is present in either of the other two countries.,A person in the physician's country who is suffering from ulcers is just as likely to obtain a prescription for the ailment as is a person suffering from ulcers in one of the other two countries.,Several other countries not covered in the physician's comparisons have more prescriptions for ulcer medication than does the physician's country.,2,val_322
"Investment banker: Democracies require free-market capitalist economies, because a more controlled economy is incompatible with complete democracy. But history shows that repressive measures against certain capitalistic developments are required during the transition from a totalitarian regime to a democracy. Thus, people who bemoan the seemingly anticapitalistic measures certain governments are currently taking are being hasty.",Which one of the following is an assumption required by the investment banker's argument?,A free-market economy is incompatible with a nondemocratic regime.,No current government has reached as complete a state of democracy as it is possible for a government to reach.,The nations whose anticapitalistic measures the people in question bemoan had totalitarian regimes in the recent past.,"The more democratic a country is, the less regulated its economy must be.",2,val_211
"A certain cultivated herb is one of a group of closely related plants that thrive in soil with high concentrations of metals that are toxic to most other plants. Agronomists studying the herb have discovered that it produces large amounts of histidine, an amino acid that, in test-tube solutions, renders these metals chemically inert. Possibly, ttherefore, the herb' s high histidine production is what allows it to grow in metal-rich soils, a hypothesis that would gain support if __.",Which of the following most logically completes the argument?,the concentration of histidine in the growing herb declines as the plant approaches maturity,"cultivation of the herb in soil with high concentrations of the metals will, over an extended period, make the soil suitable for plants to which the metals are toxic","histidine is found in all parts of the plant-roots, stem, leaves, and flowers",others of the closely related group of plants are also found to produce histidine in large quantities,3,val_155
"Further evidence of a connection between brain physiology and psychological states has recently been uncovered in the form of a correlation between electroencephalograph patterns and characteristic moods. A study showed that participants who suffered form clinical depression exhibited less left frontal lobe activity than right, while, conversely, characteristically good-natured participants exhibited greater left lobe activity. Thus one' s general disposition is a result of the activity of one' s frontal lobe.","Each of the following, if true, weakens the argument EXCEPT:",Social interaction of the kind not engaged in by most clinically depressed people is known to stimulate left lobe activity.,"Excessive sleep, a typical consequence of clinical depression, is known to suppress left lobe activity.",Many drugs prescribed to combat clinical depression act by causing increased left lobe activity.,Frontal lobe activity is not subject to variation the way general disposition is.,2,val_142
"A university psychology department received a large donation from a textbook company after agreeing to use one of the company' s books for a large introductory course. The department chair admitted that the department would not have received the donation if it used another company' s textbook, but insisted that the book was chosen solely for academic reasons. As proof, she noted that the department' s textbook committee had given that textbook its highest rating.","Which one of the following, if true, most weakens the case for the department chair's position?",The textbook company does not routinely make donations to academic departments that use its books.,The members of the textbook committee were favorably influenced toward the textbook by the prospect of their department receiving a large donation.,"In the previous year, a different textbook from the same company was used in the introductory course.",The department has a long-standing policy of using only textbooks that receive the committee's highest rating.,1,val_190
"Economist: Tropicorp, which constantly seeks profitable investment opportunities, has been buying and clearing sections of tropical forest for cattle ranching, although pastures newly created there become useless for grazing after just a few years. The company has not gone into rubber tapping, even though greater profits can be made from rubber tapping, which leaves the forest intact. Thus, some environmentalists argue that Tropicorp's actions do not serve even its own economic interest. However, the initial investment required for a successful rubber-tapping operation is larger than that needed for a cattle ranch; there is a shortage of workers employable in rubber-tapping operations; and taxes are higher on profits from rubber tapping than on profits from cattle ranching. Consequently, the environmentalists' conclusion is probably wrong. ","In the economist's argument, the two boldface portions play which of the following roles?",The first states the conclusion of the economists' argument: the second supports that conclusion.,The first supports the conclusion of the environmentalists' argument; the second states that conclusion.,Each supports the conclusion of the economist's argument.,The first states the conclusion of the environmentalists' argument; the second states the conclusion of the economist's argument,3,val_332
"Mayor of Smalltown: Instituting high taxes on sodas, which are currently untaxed in Smalltown, has been shown in the past year to encourage people to reduce their intake of soda and live healthier lifestyles. Because the effects of such taxes on local businesses have not yet been determined, though, I believe we should wait before implementing such a tax. Activist: Your position is inconsistent with previous actions you have taken. You have implemented many laws that have decreased local businesses' revenues in order to help consumers, so concern for local businesses cannot be the true reason you refuse to pass this law now.",The activist's argument is flawed because it fails to consider that,the effects of taxes on local businesses may not be immediately apparent in all cases.,the health effects of some types of sodas may be different than the health effects of others.,"it is possible to weigh known drawbacks against known benefits, but not possible to weigh unknown drawbacks in the same way.",soda consumption has been strongly linked to rates of obesity and shorter lifespans.,2,val_306
"Consumer advocate: The toy-labeling law should require manufacturers to provide explicit safety labels on toys to indicate what hazards the toys pose. The only labels currently required by law are labels indicating the age range for which a toy is intended. For instance, a ""three and up"" label is required on toys that pose a choking hazard for children under three years of age. Although the current toy-labeling law has indeed reduced the incidence of injuries to children from toys, parents could prevent such injuries almost entirely if toy labels provided explicit safety information.","Which one of the following, if true, most strengthens the consumer advocate's argument?",Many parents do not pay attention to manufacturers labels when they select toys for their children.,Most parents believe that the current labels are recommendations regarding level of cognitive skill.,The majority of children injured by toys are under three years of age.,Choking is the most serious hazard presented to children by toys.,1,val_336
